Entry,Event,EButSlot,EButEventType,EButEventParm,EButEventAct,EButEventFct,EButActParm1,EButActParm2
 1 , 0 , 0 , 0 , 8 , 2 , 0 , 135 , 0 
 2 , 1 , 1 , 0 , 8 , 3 , 3 , 0 , 0 
 3 , 2 , 2 , 3 , 3 , 11 , 1 , 0 , 1 
 4 , 2 , 2 , 3 , 3 , 2 , 1 , 140 , 0 
 5 , 2 , 2 , 3 , 3 , 15 , 1 , 2 , 0 
 6 , 2 , 2 , 3 , 3 , 4 , 1 , 0 , 0 
 7 , 2 , 2 , 3 , 3 , 1 , 1 , 1 , 2 
 8 , 2 , 2 , 3 , 3 , 1 , 1 , 2 , 2 
 9 , 2 , 2 , 3 , 3 , 1 , 1 , 3 , 2 
 10 , 2 , 2 , 3 , 3 , 1 , 1 , 4 , 2 
 11 , 3 , 10 , 1 , 0 , 20 , 0 , 0 , 0 
 12 , 3 , 10 , 1 , 0 , 7 , 0 , 0 , 141 
 13 , 3 , 10 , 1 , 0 , 7 , 0 , 1 , 144 
 14 , 3 , 10 , 1 , 0 , 19 , 0 , 0 , 0 
 15 , 4 , 22 , 5 , 0 , 7 , 0 , 0 , 142 
 16 , 4 , 22 , 5 , 0 , 2 , 0 , 143 , 0 
 17 , 4 , 22 , 5 , 0 , 1 , 0 , 5 , 1 
 18 , 4 , 22 , 5 , 0 , 7 , 0 , 0 , 141 
 19 , 5 , 11 , 5 , 1 , 2 , 0 , 145 , 0 
 20 , 5 , 11 , 5 , 1 , 1 , 0 , 13 , 0 
 21 , 5 , 11 , 5 , 1 , 1 , 0 , 14 , 0 
 22 , 5 , 11 , 5 , 1 , 1 , 0 , 14 , 0 
 23 , 5 , 11 , 5 , 1 , 1 , 0 , 14 , 0 
 24 , 5 , 11 , 5 , 1 , 1 , 0 , 14 , 0 
 25 , 5 , 11 , 5 , 1 , 1 , 0 , 15 , 0 
 26 , 5 , 11 , 5 , 1 , 7 , 0 , 1 , 144 
 27 , 6 , 20 , 0 , 1 , 2 , 1 , 146 , 0 
 28 , 6 , 20 , 0 , 1 , 1 , 1 , 9 , 0 
 29 , 7 , 12 , 0 , 2 , 2 , 0 , 147 , 0 
 30 , 7 , 12 , 0 , 2 , 1 , 0 , 10 , 0 
 31 , 7 , 12 , 0 , 2 , 1 , 0 , 11 , 1 
 32 , 7 , 12 , 0 , 2 , 1 , 0 , 12 , 0 
 33 , 8 , 13 , 0 , 7 , 2 , 0 , 151 , 0 
 34 , 8 , 13 , 0 , 7 , 1 , 0 , 13 , 0 
 35 , 8 , 13 , 0 , 7 , 1 , 0 , 11 , 0 
 36 , 8 , 13 , 0 , 7 , 1 , 0 , 12 , 0 
 37 , 8 , 13 , 0 , 7 , 5 , 0 , 0.2 , 0 
 38 , 8 , 13 , 0 , 7 , 1 , 0 , 13 , 0 
 39 , 8 , 13 , 0 , 7 , 1 , 0 , 11 , 0 
 40 , 8 , 13 , 0 , 7 , 1 , 0 , 12 , 0 
 41 , 8 , 13 , 0 , 7 , 5 , 0 , 0.2 , 0 
 42 , 8 , 13 , 0 , 7 , 1 , 0 , 13 , 0 
 43 , 8 , 13 , 0 , 7 , 1 , 0 , 12 , 0 
 44 , 8 , 13 , 0 , 7 , 5 , 0 , 0.2 , 0 
 45 , 8 , 13 , 0 , 7 , 1 , 0 , 13 , 0 
 46 , 8 , 13 , 0 , 7 , 1 , 0 , 11 , 0 
 47 , 8 , 13 , 0 , 7 , 1 , 0 , 12 , 0 
 48 , 9 , 31 , 1 , 0 , 2 , 1 , 149 , 0 
 49 , 9 , 31 , 1 , 0 , 1 , 1 , 16 , 0 
 50 , 10 , 3 , 3 , 3 , 12 , 3 , 0 , 1 
 51 , 10 , 3 , 3 , 3 , 13 , 3 , 0 , 0 
 52 , 10 , 3 , 3 , 3 , 2 , 3 , 148 , 0 
