Entry,Event,EButSlot,EButEventType,EButEventParm,EButEventAct,EButEventFct,EButActParm1,EButActParm2
 1 , 0 , 2 , 3 , 1 , 2 , 1 , 140 , 0 
 2 , 0 , 2 , 3 , 1 , 1 , 1 , 2 , 0 
 3 , 1 , 3 , 3 , 4 , 15 , 1 , 1 , 0 
 4 , 1 , 3 , 3 , 4 , 2 , 1 , 140 , 0 
 5 , 1 , 3 , 3 , 4 , 4 , 1 , 0 , 0 
 6 , 1 , 3 , 3 , 4 , 1 , 1 , 3 , 0 
 7 , 2 , 4 , 3 , 5 , 15 , 1 , 3 , 0 
 8 , 2 , 4 , 3 , 5 , 2 , 1 , 140 , 0 
 9 , 2 , 4 , 3 , 5 , 4 , 1 , 0 , 0 
 10 , 2 , 4 , 3 , 5 , 1 , 1 , 3 , 0 
 11 , 3 , 5 , 3 , 2 , 15 , 1 , 2 , 0 
 12 , 3 , 5 , 3 , 2 , 2 , 1 , 140 , 0 
 13 , 3 , 5 , 3 , 2 , 4 , 1 , 0 , 0 
 14 , 3 , 5 , 3 , 2 , 1 , 1 , 3 , 1 
 15 , 4 , 6 , 3 , 3 , 2 , 3 , 140 , 0 
 16 , 4 , 6 , 3 , 3 , 1 , 3 , 4 , 0 
 17 , 5 , 7 , 1 , 0 , 15 , 1 , 4 , 0 
 18 , 5 , 7 , 1 , 0 , 2 , 1 , 140 , 0 
 19 , 5 , 7 , 1 , 0 , 4 , 1 , 0 , 0 
 20 , 5 , 7 , 1 , 0 , 1 , 1 , 1 , 1 
 21 , 6 , 0 , 1 , 0 , 15 , 2 , 0 , 0 
 22 , 6 , 0 , 1 , 0 , 2 , 2 , 140 , 0 
 23 , 6 , 0 , 1 , 0 , 1 , 2 , 0 , 0 
 24 , 6 , 0 , 1 , 0 , 1 , 2 , 5 , 0 
 25 , 6 , 0 , 1 , 0 , 1 , 2 , 1 , 0 
 26 , 7 , 1 , 1 , 0 , 2 , 3 , 140 , 0 
 27 , 7 , 1 , 1 , 0 , 1 , 3 , 1 , 0 
 28 , 7 , 1 , 1 , 0 , 1 , 3 , 0 , 0 
 29 , 8 , 12 , 0 , 2 , 2 , 0 , 141 , 0 
 30 , 8 , 12 , 0 , 2 , 1 , 0 , 7 , 0 
 31 , 8 , 12 , 0 , 2 , 1 , 0 , 8 , 1 
 32 , 8 , 12 , 0 , 2 , 1 , 0 , 9 , 0 
 33 , 9 , 21 , 0 , 1 , 2 , 1 , 142 , 0 
 34 , 9 , 21 , 0 , 1 , 1 , 1 , 10 , 0 
 35 , 10 , 13 , 1 , 0 , 20 , 0 , 0 , 0 
 36 , 10 , 13 , 1 , 0 , 7 , 0 , 1 , 145 
 37 , 10 , 13 , 1 , 0 , 19 , 0 , 0 , 0 
 38 , 10 , 13 , 1 , 0 , 19 , 0 , 0 , 0 
 39 , 11 , 14 , 5 , 0 , 2 , 0 , 144 , 0 
 40 , 11 , 14 , 5 , 0 , 1 , 0 , 11 , 0 
 41 , 11 , 14 , 5 , 0 , 7 , 0 , 0 , 143 
 42 , 12 , 22 , 5 , 1 , 7 , 0 , 1 , 146 
 43 , 12 , 22 , 5 , 1 , 2 , 0 , 147 , 0 
 44 , 12 , 22 , 5 , 1 , 1 , 0 , 12 , 0 
 45 , 12 , 22 , 5 , 1 , 1 , 0 , 13 , 1 
 46 , 12 , 22 , 5 , 1 , 1 , 0 , 14 , 0 
 47 , 12 , 22 , 5 , 1 , 7 , 0 , 1 , 145 
 48 , 13 , 23 , 2 , 0 , 10 , 0 , 132 , 64 
 49 , 13 , 23 , 2 , 0 , 10 , 0 , 135 , 0 
 50 , 13 , 23 , 2 , 0 , 10 , 0 , 139 , 31 
 51 , 13 , 23 , 2 , 0 , 10 , 0 , 140 , 64 
 52 , 13 , 23 , 2 , 0 , 10 , 0 , 141 , 64 
 53 , 13 , 23 , 2 , 0 , 10 , 0 , 142 , 64 
 54 , 13 , 23 , 2 , 0 , 10 , 0 , 143 , 9 
 55 , 13 , 23 , 2 , 0 , 10 , 0 , 144 , 64 
 56 , 13 , 23 , 2 , 0 , 10 , 0 , 145 , 18 
 57 , 13 , 23 , 2 , 0 , 10 , 0 , 146 , 3 
 58 , 13 , 23 , 2 , 0 , 10 , 0 , 147 , 64 
 59 , 13 , 23 , 2 , 0 , 10 , 0 , 148 , 64 
 60 , 14 , 15 , 0 , 7 , 2 , 0 , 141 , 0 
 61 , 14 , 15 , 0 , 7 , 1 , 0 , 7 , 0 
 62 , 14 , 15 , 0 , 7 , 1 , 0 , 8 , 0 
 63 , 14 , 15 , 0 , 7 , 1 , 0 , 9 , 0 
 64 , 14 , 15 , 0 , 7 , 5 , 0 , 0.2 , 0 
 65 , 14 , 15 , 0 , 7 , 1 , 0 , 7 , 0 
 66 , 14 , 15 , 0 , 7 , 1 , 0 , 8 , 0 
 67 , 14 , 15 , 0 , 7 , 1 , 0 , 9 , 0 
 68 , 14 , 15 , 0 , 7 , 5 , 0 , 0.2 , 0 
 69 , 14 , 15 , 0 , 7 , 1 , 0 , 7 , 0 
 70 , 14 , 15 , 0 , 7 , 1 , 0 , 9 , 0 
 71 , 14 , 15 , 0 , 7 , 5 , 0 , 0.2 , 0 
 72 , 14 , 15 , 0 , 7 , 1 , 0 , 7 , 0 
 73 , 14 , 15 , 0 , 7 , 1 , 0 , 8 , 0 
 74 , 14 , 15 , 0 , 7 , 1 , 0 , 9 , 0 
 75 , 15 , 10 , 0 , 8 , 2 , 0 , 135 , 0 
 76 , 16 , 11 , 0 , 8 , 3 , 3 , 0 , 0 
 77 , 17 , 20 , 9 , 0 , 2 , 0 , 148 , 0 
