Entry,Event,EButSlot,EButEventType,EButEventParm,EButEventAct,EButEventFct,EButActParm1,EButActParm2
 1 , 0 , 2 , 3 , 1 , 2 , 1 , 140 , 0 
 2 , 0 , 2 , 3 , 1 , 1 , 1 , 2 , 0 
 3 , 0 , 2 , 3 , 1 , 11 , 1 , 0 , 1 
 4 , 0 , 2 , 3 , 1 , 7 , 1 , 0 , 146 
 5 , 0 , 2 , 3 , 1 , 7 , 1 , 1 , 148 
 6 , 1 , 3 , 3 , 4 , 15 , 1 , 1 , 0 
 7 , 1 , 3 , 3 , 4 , 2 , 1 , 140 , 0 
 8 , 1 , 3 , 3 , 4 , 4 , 1 , 0 , 0 
 9 , 1 , 3 , 3 , 4 , 1 , 1 , 3 , 0 
 10 , 2 , 4 , 3 , 5 , 15 , 1 , 3 , 0 
 11 , 2 , 4 , 3 , 5 , 2 , 1 , 140 , 0 
 12 , 2 , 4 , 3 , 5 , 4 , 1 , 0 , 0 
 13 , 2 , 4 , 3 , 5 , 1 , 1 , 3 , 0 
 14 , 3 , 5 , 3 , 2 , 15 , 1 , 2 , 0 
 15 , 3 , 5 , 3 , 2 , 2 , 1 , 140 , 0 
 16 , 3 , 5 , 3 , 2 , 4 , 1 , 0 , 0 
 17 , 3 , 5 , 3 , 2 , 1 , 1 , 3 , 1 
 18 , 4 , 6 , 3 , 3 , 11 , 3 , 0 , 0 
 19 , 4 , 6 , 3 , 3 , 2 , 3 , 140 , 0 
 20 , 4 , 6 , 3 , 3 , 1 , 3 , 4 , 0 
 21 , 5 , 7 , 1 , 0 , 15 , 1 , 4 , 0 
 22 , 5 , 7 , 1 , 0 , 2 , 1 , 140 , 0 
 23 , 5 , 7 , 1 , 0 , 4 , 1 , 0 , 0 
 24 , 5 , 7 , 1 , 0 , 1 , 1 , 1 , 1 
 25 , 6 , 0 , 1 , 0 , 15 , 2 , 0 , 0 
 26 , 6 , 0 , 1 , 0 , 2 , 2 , 140 , 0 
 27 , 6 , 0 , 1 , 0 , 1 , 2 , 0 , 0 
 28 , 6 , 0 , 1 , 0 , 1 , 2 , 5 , 0 
 29 , 6 , 0 , 1 , 0 , 1 , 2 , 1 , 0 
 30 , 7 , 1 , 1 , 0 , 2 , 3 , 140 , 0 
 31 , 7 , 1 , 1 , 0 , 1 , 3 , 6 , 0 
 32 , 8 , 12 , 0 , 2 , 2 , 0 , 141 , 0 
 33 , 8 , 12 , 0 , 2 , 1 , 0 , 7 , 0 
 34 , 8 , 12 , 0 , 2 , 1 , 0 , 8 , 1 
 35 , 8 , 12 , 0 , 2 , 1 , 0 , 9 , 0 
 36 , 9 , 20 , 0 , 4 , 2 , 0 , 142 , 0 
 37 , 9 , 20 , 0 , 4 , 1 , 0 , 10 , 0 
 38 , 9 , 20 , 0 , 4 , 5 , 0 , 0.4 , 0 
 39 , 9 , 20 , 0 , 4 , 1 , 0 , 11 , 0 
 40 , 9 , 20 , 0 , 4 , 5 , 0 , 0.8 , 0 
 41 , 9 , 20 , 0 , 4 , 1 , 0 , 12 , 0 
 42 , 9 , 20 , 0 , 4 , 5 , 0 , 0.7 , 0 
 43 , 9 , 20 , 0 , 4 , 1 , 0 , 13 , 0 
 44 , 9 , 20 , 0 , 4 , 5 , 0 , 1 , 0 
 45 , 9 , 20 , 0 , 4 , 1 , 0 , 14 , 0 
 46 , 10 , 13 , 1 , 0 , 20 , 0 , 0 , 0 
 47 , 10 , 13 , 1 , 0 , 19 , 0 , 0 , 0 
 48 , 10 , 13 , 1 , 0 , 19 , 0 , 0 , 0 
 49 , 11 , 21 , 0 , 7 , 2 , 0 , 143 , 0 
 50 , 11 , 21 , 0 , 7 , 1 , 0 , 15 , 0 
 51 , 12 , 22 , 0 , 8 , 2 , 0 , 143 , 0 
 52 , 12 , 22 , 0 , 8 , 1 , 0 , 16 , 0 
 53 , 13 , 30 , 0 , 3 , 2 , 0 , 144 , 0 
 54 , 13 , 30 , 0 , 3 , 1 , 0 , 17 , 0 
 55 , 14 , 23 , 0 , 10 , 2 , 0 , 142 , 0 
 56 , 14 , 23 , 0 , 10 , 1 , 0 , 18 , 0 
 57 , 15 , 10 , 0 , 20 , 2 , 0 , 135 , 0 
 58 , 16 , 11 , 0 , 20 , 3 , 3 , 0 , 0 
 59 , 17 , 31 , 0 , 14 , 4 , 0 , 0 , 0 
 60 , 17 , 31 , 0 , 14 , 2 , 0 , 145 , 0 
 61 , 17 , 31 , 0 , 14 , 16 , 0 , 0 , 0 
 62 , 17 , 31 , 0 , 14 , 1 , 0 , 19 , 0 
 63 , 17 , 31 , 0 , 14 , 16 , 0 , 0 , 0 
 64 , 17 , 31 , 0 , 14 , 1 , 0 , 20 , 0 
 65 , 17 , 31 , 0 , 14 , 16 , 0 , 0 , 0 
 66 , 17 , 31 , 0 , 14 , 1 , 0 , 21 , 0 
 67 , 18 , 33 , 5 , 0 , 12 , 0 , 0 , 1 
 68 , 18 , 33 , 5 , 0 , 13 , 0 , 0 , 0 
 69 , 18 , 33 , 5 , 0 , 2 , 0 , 145 , 0 
 70 , 18 , 33 , 5 , 0 , 4 , 0 , 0 , 0 
 71 , 18 , 33 , 5 , 0 , 16 , 0 , 0 , 0 
 72 , 18 , 33 , 5 , 0 , 1 , 0 , 19 , 0 
 73 , 18 , 33 , 5 , 0 , 16 , 0 , 0 , 0 
 74 , 18 , 33 , 5 , 0 , 1 , 0 , 20 , 0 
 75 , 18 , 33 , 5 , 0 , 16 , 0 , 0 , 0 
 76 , 18 , 33 , 5 , 0 , 1 , 0 , 21 , 0 
 77 , 18 , 33 , 5 , 0 , 14 , 0 , 0 , 0 
